STATUS;ORBITAL_PERIOD_DAYS;TRANSIT_DURATION_HOURS;TRANSIT_DEPTH_PPM;PLANET_RADIUS_REARTH;PLANET_INSOLATION_EFLUX;PLANET_EQ_TEMP_K;STELLAR_TEFF_K;STELLAR_LOGG_CMS2;STELLAR_RADIUS_RSUN
1;9.47;2.43;2237.0;2.13;6.47;407.0;3582.0;4.81;0.46
1;0.89;1.1;741.7;1.24;151.14;893.0;3582.0;4.81;0.46
1;4.94;3.25;11145.0;10.62;244.42;1008.0;5514.0;4.46;0.98
1;20.83;4.05;988.4;2.74;29.62;595.0;5537.0;4.55;0.88
1;9.95;3.39;994.5;3.12;100.34;807.0;5344.0;4.36;1.01
1;1.05;1.9;213.0;1.45;2031.84;1710.0;5344.0;4.36;1.01
1;5.71;2.34;297.8;1.78;210.16;971.0;5344.0;4.36;1.01
1;8.15;5.07;446.8;3.43;287.91;1050.0;5896.0;4.2;1.24
1;4.24;3.28;174.0;2.07;686.99;1305.0;5896.0;4.2;1.24
1;90.12;11.65;3020.3;7.12;13.09;485.0;6520.0;4.38;1.22
1;28.57;4.94;824.9;2.32;19.83;538.0;5551.0;4.51;0.81
1;856.67;23.14;858.1;3.87;0.81;242.0;6449.0;4.23;1.31
1;0.69;1.62;195.0;1.32;3362.71;1943.0;5630.0;4.5;0.95
1;7.34;1.18;574.4;1.84;117.5;839.0;5757.0;4.6;0.76
0;9.88;2.78;18541.0;23.6;129.45;860.0;6113.0;4.51;0.92
0;4.65;38.19;128.4;5.06;6152.88;2259.0;6980.0;3.58;3.48
0;17.51;1.82;4511.7;13.66;98.77;804.0;6224.0;4.33;1.13
0;0.53;2.14;747.5;23.61;4391.51;2073.0;5582.0;4.5;0.85
0;1.3;4.05;598.2;27.85;1595.19;1610.0;5758.0;4.47;0.9
0;2.56;9.08;113.8;23.35;701.68;1312.0;5948.0;4.51;0.9
1;224.78;11.19;3487.5;7.67;2.92;333.0;5873.0;4.29;1.24
0;0.89;0.88;321.5;1.25;838.42;1372.0;4768.0;4.63;0.71
0;5.77;2.92;248.0;7.47;3518.78;1964.0;5772.0;3.36;4.43
1;7.43;3.64;443.3;2.47;273.78;1037.0;6049.0;4.35;1.18
1;15.99;4.16;178.5;1.62;98.51;803.0;6049.0;4.35;1.18
0;0.73;4.32;250.2;17.12;3248.17;1922.0;5901.0;4.55;0.85
1;18.93;3.98;640.9;13.92;443.58;1171.0;4941.0;3.32;4.88
0;2.04;3.44;118.6;1.19;1448.05;1572.0;6253.0;4.42;1.01
1;31.59;13.57;145.1;1.78;53.09;688.0;5676.0;4.1;1.49
1;17.16;11.28;110.4;1.55;119.87;844.0;5676.0;4.1;1.49
1;1.97;1.83;30222.0;8.78;76.1;753.0;3807.0;4.76;0.5
1;13.12;4.3;372.2;8.25;2310.43;1768.0;7221.0;3.49;4.24
0;4.62;6.0;4399.1;7.48;442.78;1170.0;6013.0;4.38;1.03
1;7.82;3.84;42.2;2.78;4601.71;2101.0;7221.0;3.49;4.24
1;53.51;10.56;195.6;2.52;49.16;675.0;6247.0;4.02;1.76
1;2.79;3.56;68.9;1.69;2388.98;1784.0;6202.0;4.03;1.73
0;3.41;3.16;570.6;14.71;51.85;684.0;3995.0;4.71;0.56
0;0.53;1.08;324.6;1.45;4349.62;2069.0;5791.0;4.58;0.8
1;1.27;1.46;340.9;1.41;740.47;1331.0;5041.0;4.58;0.77
1;2.85;1.46;277.1;1.36;251.77;1016.0;5041.0;4.58;0.77
